potential_total_value_of_award,binned_potential_value,Last Contract Modification/Ammendment,recipient_state_name,extent_competed_code,product_or_service_code,award_type_code,program_activities_funding_this_award,woman_owned_business,minority_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size_code,number_of_offers_imputed
115500,Low,2,MISSOURI,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,3
4446655.2,Med,23,TENNESSEE,A,R499,C,"0000: UNKNOWN;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0084: HUMAN HEALTH RISK ASSESSMENT;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O,1
181689,Low,0,VIRGINIA,A,7A21,C,00F6: INFORMATION SECURITY,f,f,f,O,1
649564,Med,0,TENNESSEE,A,R499,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,O,1
70655,Low,5,MASSACHUSETTS,A,F999,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL;00E4: ALTERNATIVE DISPUTE RESOLUTION,f,f,f,O,1
12449.72,Low,0,NORTH CAROLINA,A,J066,C,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,O,1
380584,Med,1,OHIO,A,F999,A,0004: CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,f,f,f,O,1
114077.56,Low,3,VIRGINIA,A,F999,C,0003: CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),f,f,f,O,1
231766,Low,0,ILLINOIS,A,R429,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
6409230,Med,2,VIRGINIA,A,R499,C,0046: CLIMATE PROTECTION PROGRAM;00C4: STRATOSPHERIC OZONE: DOMESTIC PROGRAMS,f,f,f,O,1
8799935.42,High,9,WASHINGTON,D,Y1DB,C,0000: UNKNOWN;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,t,f,S,1
18367.87,Low,0,PENNSYLVANIA,A,6640,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,O,3
170000,Low,3,MARYLAND,F,F108,C,0000: UNKNOWN;00A1: RCRA:  WASTE MANAGEMENT;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,t,t,f,S,1
443370,Med,2,CALIFORNIA,A,R499,C,0081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF,f,f,f,S,6
5394817.66,Med,61,MASSACHUSETTS,A,F999,C,"0000: UNKNOWN;0044: CIVIL ENFORCEMENT;0046: CLIMATE PROTECTION PROGRAM;0050: COMPLIANCE MONITORING;0053: DRINKING WATER PROGRAMS;0057: ENVIRONMENTAL JUSTICE;0058: FEDERAL STATIONARY SOURCE REGULATIONS;0070: HOMELAND SECURITY:  COMMUNICATION AND INFORMATION;0079: BROWNFIELDS PROJECTS;0082: INFRASTRUCTURE ASSISTANCE:  MEXICO BORDER;0084: HUMAN HEALTH RISK ASSESSMENT;0086: LUST / UST;0088: MARINE POLLUTION;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT;00A2: RCRA:  WASTE MINIMIZATION & RECYCLING;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION;00D8: TRI / RIGHT TO KNOW;00D9: TRIBAL - CAPACITY BUILDING;00E2: WETLANDS;00E4: ALTERNATIVE DISPUTE RESOLUTION;00E7: CIVIL RIGHTS / TITLE VI COMPLIANCE;00E7: CIVIL RIGHTS/TITLE VI COMPLIANCE;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F3: ACQUISITION MANAGEMENT;00G1: LEGAL ADVICE: SUPPORT PROGRAM;00H3: CHILDREN & OTHER SENSITIVE POPULATIONS: AGENCY COORDINATION;00H5: REDUCE RISKS FROM INDOOR AIR;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
875000000,High,4,COLORADO,A,F108,,0000: UNKNOWN,f,f,f,O,13
5520109.94,High,28,VIRGINIA,B,D302,D,0000: UNKNOWN;0043: BROWNFIELDS;0070: HOMELAND SECURITY:  COMMUNICATION AND INFORMATION;0073: HOMELAND SEC:  PROTECTION OF EPA PERSONNEL & INFRASTRUCTURE,t,f,f,S,1
634937.86,High,12,MASSACHUSETTS,A,R799,C,0044: CIVIL ENFORCEMENT;3044: CIVIL ENFORCEMENT;3050: COMPLIANCE MONITORING,f,f,f,O,1
67420.5,Low,5,WASHINGTON,A,J066,C,0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING;00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
48886.95,Low,1,MICHIGAN,F,6640,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,S,1
269473.05,Med,1,VIRGINIA,A,R425,C,0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O,1
485012.86,Med,1,VIRGINIA,A,F115,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
51388.08,Low,2,CONNECTICUT,A,W074,C,0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;0068: GEOGRAPHIC PROGRAM: OTHER;00D8: TRI / RIGHT TO KNOW;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT;00K5: GEOGRAPHIC PROGRAM: PUGET SOUND,f,f,f,O,1
41580,Low,0,VIRGINIA,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,2
14711.9,Low,1,VIRGINIA,A,B516,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
230038.35,Low,5,MASSACHUSETTS,A,R499,C,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O,4
1168508,Med,10,MASSACHUSETTS,A,F999,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00C3: STATE AND LOCAL PREVENTION AND PREPAREDNESS;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL",f,f,f,O,2
40000,Low,4,MISSOURI,D,F111,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
19000,Low,1,MISSOURI,A,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
3677993.97,Med,10,NEVADA,D,Z1DB,D,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,t,f,f,S,12
1158531.24,High,11,VIRGINIA,A,C214,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
1464000,Med,1,DISTRICT OF COLUMBIA,A,R418,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O,5
56064.38,Low,0,MINNESOTA,A,7610,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,O,1
15824.77,Low,1,TEXAS,A,6640,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,t,f,S,4
360815,Med,11,MASSACHUSETTS,A,F999,C,0000: UNKNOWN;00E4: ALTERNATIVE DISPUTE RESOLUTION,f,f,f,O,1
4992498,Med,9,MISSOURI,D,F999,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL",f,f,f,S,1
14088.03,Low,3,PENNSYLVANIA,A,B510,C,0000: UNKNOWN;0004: CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,f,f,f,O,1
60000,Low,1,MISSOURI,A,F108,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE",f,f,f,S,1
3174702.36,Med,9,MARYLAND,D,R408,C,0000: UNKNOWN;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK,f,f,t,S,1
567433.16,High,4,CALIFORNIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
349937,Med,1,MASSACHUSETTS,A,F999,C,00L7: GOLD KING MINE MONITORING,f,f,f,O,1
99493000,Med,11,ILLINOIS,A,R429,,,f,f,f,O,2
150000,Low,1,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,3
663658.08,Med,3,ALABAMA,D,R499,C,0011: CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT,f,t,f,S,3
40117.88,Low,0,ILLINOIS,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,2
7044535.68,Med,5,MARYLAND,A,R499,C,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O,4
4200648.64,High,4,COLORADO,A,F999,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
34582.49,Low,1,MISSOURI,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
77056.41,Low,0,MISSOURI,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
99999.51,Low,0,NEW MEXICO,D,AJ11,D,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,S,185
45000000,Med,5,MARYLAND,D,D399,,0000: UNKNOWN,f,t,f,S,8
105939.2,Low,5,MISSOURI,D,F108,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,3
100000,Low,1,WASHINGTON,,6145,,00F8: IT / DATA MANAGEMENT,f,f,f,S,1
41597.42,Low,0,MAINE,G,B516,C,00A1: RCRA:  WASTE MANAGEMENT,f,t,f,O,1
49116,Low,1,ON,C,6640,B,00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,O,1
210000,Low,4,MICHIGAN,A,N071,,,f,f,f,O,1
19639.8,Low,1,DISTRICT OF COLUMBIA,F,R606,B,00E3: ADMINISTRATIVE LAW,f,f,f,S,1
318406,Med,0,MASSACHUSETTS,A,F115,A,0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,O,1
4736868.61,Med,35,MARYLAND,A,D318,C,"0000: UNKNOWN;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0097: RADIATION:  PROTECTION;00H5: REDUCE RISKS FROM INDOOR AIR;0805: REDUCE RISKS FROM INDOOR AIR;3059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT",f,f,f,O,1
225134.6,Low,8,NORTH CAROLINA,A,7030,C,"0000: UNKNOWN;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",t,f,f,S,1
3262973.04,Med,37,VIRGINIA,A,C214,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL;0402: SUPERFUND:  REMEDIAL,f,f,f,O,1
36999.29,Low,1,MASSACHUSETTS,A,6630,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,O,1
16700000,Med,8,VIRGINIA,D,F115,,00D4: SURFACE WATER PROTECTION,t,t,f,S,9
224504.97,Low,5,COLORADO,D,F099,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S,1
2587158,Med,4,NORTH CAROLINA,A,AJ11,C,0084: HUMAN HEALTH RISK ASSESSMENT;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O,1
3401762.19,Med,1,CALIFORNIA,A,B510,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
26987,Low,0,VIRGINIA,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,2
3995866.06,Med,4,ALABAMA,D,R499,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C7: SUPERFUND: ENFORCEMENT;00C9: SUPERFUND:  FEDERAL FACILITIES;00D2: SUPERFUND:  REMEDIAL,f,t,f,S,3
46981963,High,49,ILLINOIS,A,F108,,,f,f,f,O,2
370000,High,121,MISSOURI,G,R799,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00D2: SUPERFUND:  REMEDIAL",f,t,f,S,1
28921.75,Low,0,OHIO,F,7610,B,0050: COMPLIANCE MONITORING;00C7: SUPERFUND: ENFORCEMENT,f,f,f,O,1
72027,Low,1,FLORIDA,G,J066,B,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O,1
426641.12,Med,12,VIRGINIA,A,F999,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,3
7827916.95,Med,26,TENNESSEE,A,R499,C,"0000: UNKNOWN;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0084: HUMAN HEALTH RISK ASSESSMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O,1
58218.57,Low,1,DELAWARE,A,6640,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,O,3
68017.07,Low,1,VIRGINIA,C,F999,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
88823,Low,5,MARYLAND,F,D317,B,0050: COMPLIANCE MONITORING;0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O,2
6254681.84,Med,0,OKLAHOMA,D,DE10,C,0010: CATEGORICAL GRANT:  LEAD;0042: BEACH / FISH PROGRAMS;0044: CIVIL ENFORCEMENT;0045: CLEAN AIR ALLOWANCE TRADING PROGRAMS;0046: CLIMATE PROTECTION PROGRAM;0050: COMPLIANCE MONITORING;0053: DRINKING WATER PROGRAMS;0058: FEDERAL STATIONARY SOURCE REGULATIONS;0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION;0071: HOMELAND SECURITY:  CRITICAL INFRASTRUCTURE PROTECTION;0088: MARINE POLLUTION;0097: RADIATION:  PROTECTION;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT;00C3: STATE AND LOCAL PREVENTION AND PREPAREDNESS;00C4: STRATOSPHERIC OZONE: DOMESTIC PROGRAMS;00D4: SURFACE WATER PROTECTION;00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION;00F1: EXCHANGE NETWORK;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,f,t,f,S,1
2500000,High,4,NORTH CAROLINA,,R699,,,f,f,f,S,1
30500,Low,0,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
95803.13,Low,6,OHIO,D,F108,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,2
2078099.4,Med,8,GEORGIA,A,R429,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
1762604.55,Med,0,MISSOURI,B,F108,,,t,f,f,S,1
261344.35,Med,5,NEW HAMPSHIRE,D,F103,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,2
140000,Low,0,VIRGINIA,A,AJ11,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O,1
287699.51,Med,2,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,1
292422.9,Med,2,MISSOURI,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
669235.76,Med,14,VIRGINIA,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,3
10869.32,Low,0,PENNSYLVANIA,A,M1AZ,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
79167.85,Low,0,COLORADO,A,R499,C,0011: CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,f,f,f,S,3
55674,Low,5,MASSACHUSETTS,C,J074,B,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S,1
15413.25,Low,0,DELAWARE,A,6630,C,0057: ENVIRONMENTAL JUSTICE,f,f,f,O,1
2931676.23,Med,0,VIRGINIA,A,R499,A,"0084: HUMAN HEALTH RISK ASSESSMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O,1
12610,Low,0,WASHINGTON,A,7A21,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
19488.4,Low,0,NORTH CAROLINA,A,6640,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
1272620,Med,4,VIRGINIA,A,R608,A,"00E8: CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS;00H3: CHILDREN & OTHER SENSITIVE POPULATIONS: AGENCY COORDINATION",f,t,f,S,1
1496818.73,Med,1,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,1
4482935,Med,5,KANSAS,D,F108,,,t,f,f,S,7
241406.77,Low,3,VIRGINIA,A,F115,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
950000,Med,5,GEORGIA,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
3721280.93,Med,29,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,3
40404.03,Low,0,COLORADO,D,F099,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S,1
54166.71,Low,11,COLORADO,F,F103,C,0003: CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),f,t,f,S,1
2569148.42,Med,15,VIRGINIA,D,D399,C,00F1: EXCHANGE NETWORK;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK,t,t,f,S,1
393017,Med,2,VIRGINIA,A,R499,C,0067: GEOGRAPHIC PROGRAM:  LONG ISLAND SOUND,f,f,f,O,4
555854.76,Med,7,WISCONSIN,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,4
187020.76,Low,16,VIRGINIA,A,C214,C,0000: UNKNOWN;00C9: SUPERFUND:  FEDERAL FACILITIES,f,f,f,O,1
280448.46,Med,6,ILLINOIS,A,R429,C,0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING,f,f,f,O,1
134194.01,Low,0,COLORADO,D,F099,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S,1
4300000,Med,5,MISSOURI,A,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
4371716.84,High,3,NEW JERSEY,D,F108,C,00D2: SUPERFUND:  REMEDIAL,t,t,f,S,2
33773.88,Low,3,MINNESOTA,A,DA10,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,O,1
552766.9,Med,7,MASSACHUSETTS,C,H259,B,0000: UNKNOWN;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,O,1
24599.5,Low,1,NEW HAMPSHIRE,F,R420,B,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,3
967519.66,Med,7,MARYLAND,D,C214,C,00D2: SUPERFUND:  REMEDIAL;0402: SUPERFUND:  REMEDIAL,f,f,f,S,1
133727.3,Low,4,ILLINOIS,A,R429,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,f,f,O,2
267970.24,Med,3,DISTRICT OF COLUMBIA,C,R499,C,"0046: CLIMATE PROTECTION PROGRAM;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
484396,Med,9,MASSACHUSETTS,G,F101,A,0046: CLIMATE PROTECTION PROGRAM;0058: FEDERAL STATIONARY SOURCE REGULATIONS;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,O,1
43940.54,Low,6,CALIFORNIA,A,DE11,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL",f,f,f,S,3
900842.64,Med,0,ILLINOIS,D,B510,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
221144,Low,0,MASSACHUSETTS,F,7H20,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O,1
10578387.94,Med,22,VIRGINIA,A,R425,C,0000: UNKNOWN;0070: HOMELAND SECURITY:  COMMUNICATION AND INFORMATION;00F6: INFORMATION SECURITY,f,f,f,O,3
3953467.51,High,67,ILLINOIS,A,R429,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
38423.61,Low,0,DISTRICT OF COLUMBIA,D,7C21,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,t,t,f,S,1
437454.57,Med,5,MASSACHUSETTS,,F108,,"0053: DRINKING WATER PROGRAMS;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
25172,Low,0,ILLINOIS,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,2
150000,Low,3,PENNSYLVANIA,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
7357436.57,Med,16,CALIFORNIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
3272582.01,High,9,VIRGINIA,A,B504,C,0004: CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT;0017: CATEGORICAL GRANT:  TRIBAL AIR QUALITY MANAGEMENT,f,f,f,O,1
1543359,High,2,TEXAS,D,B510,C,00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,f,f,f,S,1
19440,Low,3,NEW JERSEY,F,J066,B,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C9: SUPERFUND:  FEDERAL FACILITIES;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION",t,t,f,S,2
129287.86,Low,7,MISSOURI,A,R429,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
2624056.43,Med,5,NEW HAMPSHIRE,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,3
99324.28,Low,3,DISTRICT OF COLUMBIA,A,J074,C,00F8: IT / DATA MANAGEMENT,f,f,f,O,1
1285113.1,Med,14,VIRGINIA,D,F108,C,00C9: SUPERFUND:  FEDERAL FACILITIES,f,f,f,S,5
4208928,Med,3,ALABAMA,D,R499,C,00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION;00F8: IT / DATA MANAGEMENT;00G1: LEGAL ADVICE: SUPPORT PROGRAM;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,f,t,f,S,3
2768510.78,High,13,VIRGINIA,A,B504,C,0003: CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS);0050: COMPLIANCE MONITORING;0081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF;0081: INFRASTRUCTURE ASSISTANCE:? DRINKING WATER SRF;0089: NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,O,1
287617.29,Med,0,VIRGINIA,A,R499,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,O,1
27681676.51,Med,37,WASHINGTON,D,Y1DB,C,"0000: UNKNOWN;0073: HOMELAND SEC:  PROTECTION OF EPA PERSONNEL & INFRASTRUCTURE;00D2: SUPERFUND:  REMEDIAL;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY;0602: FACILITIES INFRASTRUCTURE AND OPERATIONS",f,t,f,S,1
9615411.48,High,31,VIRGINIA,A,R499,A,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT,f,f,f,O,2
99395.96,Low,0,DELAWARE,A,6630,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,3
20214.36,Low,0,TEXAS,A,DG11,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,t,f,f,S,1
3328108,Med,18,NORTH CAROLINA,A,F101,A,0046: CLIMATE PROTECTION PROGRAM;0058: FEDERAL STATIONARY SOURCE REGULATIONS;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,O,1
3427397.38,High,10,VIRGINIA,A,DB10,C,00F3: ACQUISITION MANAGEMENT,f,f,f,O,1
212825.49,Low,4,MARYLAND,D,R408,C,"00E8: CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS",f,f,t,S,1
697424,Med,2,NORTH CAROLINA,C,R406,D,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,O,1
97823.99,Low,7,MARYLAND,D,C214,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
3791160,Med,13,NEW YORK,A,R499,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
74273,Low,3,MASSACHUSETTS,A,R499,C,0050: COMPLIANCE MONITORING,f,f,f,O,3
