potential_total_value_of_award,recipient_state_name,extent_competed_code,product_or_service_code,award_type_code,program_activities_funding_this_award,woman_owned_business,minority_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size_code
318406,MASSACHUSETTS,A,F115,A,0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,O
4736868.61,MARYLAND,A,D318,C,"0000: UNKNOWN;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0097: RADIATION:  PROTECTION;00H5: REDUCE RISKS FROM INDOOR AIR;0805: REDUCE RISKS FROM INDOOR AIR;3059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT",f,f,f,O
225134.6,NORTH CAROLINA,A,7030,C,"0000: UNKNOWN;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",t,f,f,S
3262973.04,VIRGINIA,A,C214,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL;0402: SUPERFUND:  REMEDIAL,f,f,f,O
36999.29,MASSACHUSETTS,A,6630,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,O
16700000,VIRGINIA,D,F115,,00D4: SURFACE WATER PROTECTION,t,t,f,S
224504.97,COLORADO,D,F099,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S
2587158,NORTH CAROLINA,A,AJ11,C,0084: HUMAN HEALTH RISK ASSESSMENT;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O
3401762.19,CALIFORNIA,A,B510,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
26987,VIRGINIA,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O
3995866.06,ALABAMA,D,R499,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C7: SUPERFUND: ENFORCEMENT;00C9: SUPERFUND:  FEDERAL FACILITIES;00D2: SUPERFUND:  REMEDIAL,f,t,f,S
46981963,ILLINOIS,A,F108,,,f,f,f,O
370000,MISSOURI,G,R799,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00D2: SUPERFUND:  REMEDIAL",f,t,f,S
28921.75,OHIO,F,7610,B,0050: COMPLIANCE MONITORING;00C7: SUPERFUND: ENFORCEMENT,f,f,f,O
72027,FLORIDA,G,J066,B,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O
426641.12,VIRGINIA,A,F999,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
7827916.95,TENNESSEE,A,R499,C,"0000: UNKNOWN;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0084: HUMAN HEALTH RISK ASSESSMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O
58218.57,DELAWARE,A,6640,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,O
68017.07,VIRGINIA,C,F999,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
88823,MARYLAND,F,D317,B,0050: COMPLIANCE MONITORING;0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O
6254681.84,OKLAHOMA,D,DE10,C,0010: CATEGORICAL GRANT:  LEAD;0042: BEACH / FISH PROGRAMS;0044: CIVIL ENFORCEMENT;0045: CLEAN AIR ALLOWANCE TRADING PROGRAMS;0046: CLIMATE PROTECTION PROGRAM;0050: COMPLIANCE MONITORING;0053: DRINKING WATER PROGRAMS;0058: FEDERAL STATIONARY SOURCE REGULATIONS;0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION;0071: HOMELAND SECURITY:  CRITICAL INFRASTRUCTURE PROTECTION;0088: MARINE POLLUTION;0097: RADIATION:  PROTECTION;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT;00C3: STATE AND LOCAL PREVENTION AND PREPAREDNESS;00C4: STRATOSPHERIC OZONE: DOMESTIC PROGRAMS;00D4: SURFACE WATER PROTECTION;00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION;00F1: EXCHANGE NETWORK;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,f,t,f,S
2500000,NORTH CAROLINA,,R699,,,f,f,f,S
30500,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
95803.13,OHIO,D,F108,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
2078099.4,GEORGIA,A,R429,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL,f,f,f,O
1762604.55,MISSOURI,B,F108,,,t,f,f,S
261344.35,NEW HAMPSHIRE,D,F103,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
140000,VIRGINIA,A,AJ11,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O
287699.51,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
292422.9,MISSOURI,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
669235.76,VIRGINIA,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
10869.32,PENNSYLVANIA,A,M1AZ,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O
79167.85,COLORADO,A,R499,C,0011: CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,f,f,f,S
55674,MASSACHUSETTS,C,J074,B,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S
15413.25,DELAWARE,A,6630,C,0057: ENVIRONMENTAL JUSTICE,f,f,f,O
2931676.23,VIRGINIA,A,R499,A,"0084: HUMAN HEALTH RISK ASSESSMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O
12610,WASHINGTON,A,7A21,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
19488.4,NORTH CAROLINA,A,6640,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O
1272620,VIRGINIA,A,R608,A,"00E8: CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS;00H3: CHILDREN & OTHER SENSITIVE POPULATIONS: AGENCY COORDINATION",f,t,f,S
1496818.73,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
4482935,KANSAS,D,F108,,,t,f,f,S
241406.77,VIRGINIA,A,F115,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
950000,GEORGIA,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
3721280.93,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
40404.03,COLORADO,D,F099,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S
54166.71,COLORADO,F,F103,C,0003: CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),f,t,f,S
2569148.42,VIRGINIA,D,D399,C,00F1: EXCHANGE NETWORK;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK,t,t,f,S
393017,VIRGINIA,A,R499,C,0067: GEOGRAPHIC PROGRAM:  LONG ISLAND SOUND,f,f,f,O
555854.76,WISCONSIN,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
187020.76,VIRGINIA,A,C214,C,0000: UNKNOWN;00C9: SUPERFUND:  FEDERAL FACILITIES,f,f,f,O
280448.46,ILLINOIS,A,R429,C,0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING,f,f,f,O
134194.01,COLORADO,D,F099,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S
4300000,MISSOURI,A,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
4371716.84,NEW JERSEY,D,F108,C,00D2: SUPERFUND:  REMEDIAL,t,t,f,S
33773.88,MINNESOTA,A,DA10,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,O
552766.9,MASSACHUSETTS,C,H259,B,0000: UNKNOWN;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,O
24599.5,NEW HAMPSHIRE,F,R420,B,00D2: SUPERFUND:  REMEDIAL,f,f,f,O
967519.66,MARYLAND,D,C214,C,00D2: SUPERFUND:  REMEDIAL;0402: SUPERFUND:  REMEDIAL,f,f,f,S
133727.3,ILLINOIS,A,R429,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,f,f,O
267970.24,DISTRICT OF COLUMBIA,C,R499,C,"0046: CLIMATE PROTECTION PROGRAM;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O
484396,MASSACHUSETTS,G,F101,A,0046: CLIMATE PROTECTION PROGRAM;0058: FEDERAL STATIONARY SOURCE REGULATIONS;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,O
43940.54,CALIFORNIA,A,DE11,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL",f,f,f,S
900842.64,ILLINOIS,D,B510,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
221144,MASSACHUSETTS,F,7H20,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O
10578387.94,VIRGINIA,A,R425,C,0000: UNKNOWN;0070: HOMELAND SECURITY:  COMMUNICATION AND INFORMATION;00F6: INFORMATION SECURITY,f,f,f,O
3953467.51,ILLINOIS,A,R429,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
38423.61,DISTRICT OF COLUMBIA,D,7C21,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,t,t,f,S
437454.57,MASSACHUSETTS,,F108,,"0053: DRINKING WATER PROGRAMS;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O
25172,ILLINOIS,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O
150000,PENNSYLVANIA,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
7357436.57,CALIFORNIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O
3272582.01,VIRGINIA,A,B504,C,0004: CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT;0017: CATEGORICAL GRANT:  TRIBAL AIR QUALITY MANAGEMENT,f,f,f,O
1543359,TEXAS,D,B510,C,00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,f,f,f,S
19440,NEW JERSEY,F,J066,B,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C9: SUPERFUND:  FEDERAL FACILITIES;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION",t,t,f,S
129287.86,MISSOURI,A,R429,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,f,f,O
2624056.43,NEW HAMPSHIRE,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
99324.28,DISTRICT OF COLUMBIA,A,J074,C,00F8: IT / DATA MANAGEMENT,f,f,f,O
1285113.1,VIRGINIA,D,F108,C,00C9: SUPERFUND:  FEDERAL FACILITIES,f,f,f,S
4208928,ALABAMA,D,R499,C,00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION;00F8: IT / DATA MANAGEMENT;00G1: LEGAL ADVICE: SUPPORT PROGRAM;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,f,t,f,S
2768510.78,VIRGINIA,A,B504,C,0003: CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS);0050: COMPLIANCE MONITORING;0081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF;0081: INFRASTRUCTURE ASSISTANCE:? DRINKING WATER SRF;0089: NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,O
287617.29,VIRGINIA,A,R499,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,O
27681676.51,WASHINGTON,D,Y1DB,C,"0000: UNKNOWN;0073: HOMELAND SEC:  PROTECTION OF EPA PERSONNEL & INFRASTRUCTURE;00D2: SUPERFUND:  REMEDIAL;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY;0602: FACILITIES INFRASTRUCTURE AND OPERATIONS",f,t,f,S
9615411.48,VIRGINIA,A,R499,A,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT,f,f,f,O
99395.96,DELAWARE,A,6630,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
20214.36,TEXAS,A,DG11,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,t,f,f,S
3328108,NORTH CAROLINA,A,F101,A,0046: CLIMATE PROTECTION PROGRAM;0058: FEDERAL STATIONARY SOURCE REGULATIONS;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,O
3427397.38,VIRGINIA,A,DB10,C,00F3: ACQUISITION MANAGEMENT,f,f,f,O
212825.49,MARYLAND,D,R408,C,"00E8: CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS",f,f,t,S
697424,NORTH CAROLINA,C,R406,D,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,O
97823.99,MARYLAND,D,C214,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,f,f,S
3791160,NEW YORK,A,R499,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,f,f,O
74273,MASSACHUSETTS,A,R499,C,0050: COMPLIANCE MONITORING,f,f,f,O
948831.9,VIRGINIA,A,B516,C,00D4: SURFACE WATER PROTECTION,f,f,f,O
137328,DELAWARE,A,J066,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O
2211345,MASSACHUSETTS,A,R425,C,0053: DRINKING WATER PROGRAMS,f,f,f,O
141371.16,ALABAMA,D,J049,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,t,f,S
3596838.46,NORTH CAROLINA,D,Y1DB,D,0073: HOMELAND SEC:  PROTECTION OF EPA PERSONNEL & INFRASTRUCTURE;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,t,f,S
45000,MISSOURI,D,F108,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE",f,f,f,S
1242525.69,NEW HAMPSHIRE,D,F108,C,00C9: SUPERFUND:  FEDERAL FACILITIES,f,t,f,S
153370,NORTH CAROLINA,A,F101,A,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O
144100,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
2425788,DISTRICT OF COLUMBIA,A,R499,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O
68000000,COLORADO,A,R429,,,f,f,f,O
207890.87,VIRGINIA,A,F115,C,00A1: RCRA:  WASTE MANAGEMENT;00A2: RCRA:  WASTE MINIMIZATION & RECYCLING,f,f,f,O
12123.96,OREGON,G,J043,B,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,O
1713154.46,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
109494,TEXAS,D,R425,C,0088: MARINE POLLUTION;00D4: SURFACE WATER PROTECTION,f,f,f,S
199759,VIRGINIA,A,R499,C,0090: NEPA IMPLEMENTATION,f,f,f,O
136157.28,VIRGINIA,A,7A21,A,00D8: TRI / RIGHT TO KNOW,f,f,f,O
2126982.9,ILLINOIS,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
150000,OHIO,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,t,f,S
615573,MASSACHUSETTS,A,F101,A,0046: CLIMATE PROTECTION PROGRAM;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,O
2519529.74,OHIO,B,F108,,,f,t,f,S
974632.65,VIRGINIA,A,R499,C,0000: UNKNOWN;0046: CLIMATE PROTECTION PROGRAM,f,f,f,O
56209.86,TENNESSEE,G,6830,B,0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;0099: RCRA: CORRECTIVE ACTION;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O
8221051.85,COLORADO,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O
1444401,MARYLAND,A,R499,C,0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING;00H2: SUPERFUND: FEDERAL FACILITIES ENFORCEMENT,f,f,f,O
50000,DISTRICT OF COLUMBIA,C,R499,C,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O
12075.88,VIRGINIA,F,6640,B,0044: CIVIL ENFORCEMENT;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION;00D9: TRIBAL - CAPACITY BUILDING,f,f,f,S
904819.75,VIRGINIA,C,D317,D,0000: UNKNOWN;00F8: IT / DATA MANAGEMENT,f,f,f,O
1267992.82,NEW HAMPSHIRE,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
2984470.97,ILLINOIS,A,F108,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C9: SUPERFUND:  FEDERAL FACILITIES;00D2: SUPERFUND:  REMEDIAL",f,f,f,O
154001.44,VIRGINIA,A,B516,C,00D4: SURFACE WATER PROTECTION,f,f,f,O
3896550,VIRGINIA,A,F999,A,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
10800,OREGON,G,J043,B,0000: UNKNOWN;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O
722579,TENNESSEE,A,R499,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O
188155,MASSACHUSETTS,A,F999,C,00A1: RCRA:  WASTE MANAGEMENT,f,f,f,O
80000,NEVADA,C,7H20,B,00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,f,f,f,S
1717905.75,VIRGINIA,A,D306,C,0000: UNKNOWN;00C9: SUPERFUND:  FEDERAL FACILITIES;00D2: SUPERFUND:  REMEDIAL,f,f,f,O
24926041.06,NEW JERSEY,A,7050,A,0000: UNKNOWN;00F8: IT / DATA MANAGEMENT;0608: IT / DATA MANAGEMENT,f,f,f,O
800000,CALIFORNIA,,R498,,,f,f,f,S
10670,OHIO,A,Q301,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O
128075.86,PENNSYLVANIA,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
1679000,GEORGIA,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
20000,MISSOURI,D,F111,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
49103.32,NORTH CAROLINA,G,J066,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O
109419,VIRGINIA,A,B528,C,00D4: SURFACE WATER PROTECTION,f,f,f,O
3577404,PENNSYLVANIA,A,R499,C,0004: CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT;0045: CLEAN AIR ALLOWANCE TRADING PROGRAMS;0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O
395117,OHIO,D,R425,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,t,t,f,S
106450,MASSACHUSETTS,A,R425,C,00D4: SURFACE WATER PROTECTION,f,f,f,O
33773.63,CALIFORNIA,F,6640,B,00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,O
650725,NEW YORK,A,R499,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O
979316.2,PENNSYLVANIA,A,R429,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,O
76541.1,VIRGINIA,D,AJ11,C,00D2: SUPERFUND:  REMEDIAL;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,S
245000,MISSOURI,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
810000,MISSOURI,A,F108,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE",f,f,f,O
14999,MASSACHUSETTS,G,DH10,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O
93935.04,OHIO,C,6640,B,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,O
575623,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O
285396,NORTH CAROLINA,A,R499,C,0084: HUMAN HEALTH RISK ASSESSMENT;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,t,f,S
6195257.85,VIRGINIA,A,R499,C,"0000: UNKNOWN;0084: HUMAN HEALTH RISK ASSESSMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;3054: ENDOCRINE DISRUPTORS;3084: HUMAN HEALTH RISK ASSESSMENT",f,f,f,O
1164,MINNESOTA,G,R426,B,0003: CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),f,f,f,O
268480,MASSACHUSETTS,A,R425,C,00D4: SURFACE WATER PROTECTION,f,f,f,O
448714.81,CALIFORNIA,A,B510,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
291858,OHIO,D,R425,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,t,t,f,S
372685,OHIO,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,t,f,S
57665,TEXAS,F,5220,B,"0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,S
59880.49,MASSACHUSETTS,G,B533,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O
43993.65,PENNSYLVANIA,A,Y1LZ,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,O
851715,PENNSYLVANIA,A,R499,C,"0045: CLEAN AIR ALLOWANCE TRADING PROGRAMS;00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,O
1038662,MISSOURI,D,F999,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL",f,f,f,S
87707.9,TEXAS,A,6640,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,t,f,S
427037.7,VIRGINIA,D,F999,C,0000: UNKNOWN;00C9: SUPERFUND:  FEDERAL FACILITIES,f,f,f,S
3874500,NEW YORK,A,R418,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O
15508.81,CALIFORNIA,G,6640,B,00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,S
350759.95,VIRGINIA,A,F115,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
51383.54,FLORIDA,A,6640,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,O
65817.07,DELAWARE,A,6640,C,00D2: SUPERFUND:  REMEDIAL;00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,O
64516.11,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
301446,LOUISIANA,F,F999,A,0057: ENVIRONMENTAL JUSTICE;00A4: REGULATORY INNOVATION;00H3: CHILDREN & OTHER SENSITIVE POPULATIONS: AGENCY COORDINATION,t,f,f,S
